Rua: Rua Bernardo Sequeira (3) ; Origem: 211383600 ; Destino: 218641632 ; Oneway: True ; Highway: residential
Rua:  ; Origem: 211384249 ; Destino: 211383595 ; Oneway: True ; Highway: trunk_link
Rua: Avenida Padre Júlio Fragata (6) ; Origem: 211384249 ; Destino: 211334531 ; Oneway: True ; Highway: trunk_link
Rua:  ; Origem: 211386928 ; Destino: 211387923 ; Oneway: True ; Highway: trunk_link
Rua: Avenida João Paulo II (2) ; Origem: 211386928 ; Destino: 4740795637 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 211387923 ; Destino: 211376184 ; Oneway: True ; Highway: trunk_link
Rua:  ; Origem: 211398113 ; Destino: 254113008 ; Oneway: True ; Highway: primary_link
Rua: ['Avenida General Carrilho da Silva Pinto', 'Avenida João Paulo II'] ; Origem: 211398113 ; Destino: 4634040526 ; Oneway: True ; Highway: primary
Rua: Avenida João Paulo II (3) ; Origem: 211398673 ; Destino: 253421139 ; Oneway: True ; Highway: primary
Rua: Avenida João Paulo II (4) ; Origem: 211399766 ; Destino: 2180098431 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 211399766 ; Destino: 211342668 ; Oneway: True ; Highway: trunk_link
Rua: Avenida João Paulo II (5) ; Origem: 211399776 ; Destino: 242140555 ; Oneway: True ; Highway: primary
Rua: Avenida João Paulo II (6) ; Origem: 211406339 ; Destino: 211383600 ; Oneway: True ; Highway: primary
Rua: Avenida João Paulo II (7) ; Origem: 211406718 ; Destino: 211386928 ; Oneway: True ; Highway: primary
Rua: Avenida João Paulo II (8) ; Origem: 211406718 ; Destino: 2298996352 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 211418008 ; Destino: 1571062596 ; Oneway: True ; Highway: tertiary
Rua:  ; Origem: 211418009 ; Destino: 215735667 ; Oneway: True ; Highway: tertiary
Rua:  ; Origem: 211418016 ; Destino: 4643353477 ; Oneway: True ; Highway: tertiary
Rua:  ; Origem: 211420558 ; Destino: 211338605 ; Oneway: True ; Highway: trunk_link
Rua: Rua de São José ; Origem: 211423646 ; Destino: 211430818 ; Oneway: False ; Highway: tertiary
Rua: Rua de São José (2) ; Origem: 211423646 ; Destino: 253987334 ; Oneway: True ; Highway: tertiary
Rua: Rua Padre António Vieira ; Origem: 211425615 ; Destino: 211427482 ; Oneway: True ; Highway: residential
Rua: Rua Padre António Vieira (2) ; Origem: 211425615 ; Destino: 211423646 ; Oneway: True ; Highway: residential
Rua: ['Praça do Bocage', 'Rua Padre António Vieira'] ; Origem: 211427482 ; Destino: 7636780891 ; Oneway: True ; Highway: residential
Rua: Rua Padre António Vieira (3) ; Origem: 211427482 ; Destino: 7636778280 ; Oneway: True ; Highway: residential
Rua: Rua Padre António Vieira (4) ; Origem: 211429233 ; Destino: 211425615 ; Oneway: True ; Highway: residential
Rua: Rua Padre António Vieira (5) ; Origem: 211429233 ; Destino: 211430818 ; Oneway: False ; Highway: residential
Rua: Rua Padre António Vieira (6) ; Origem: 211430818 ; Destino: 211429233 ; Oneway: False ; Highway: residential
Rua: Rua dos Congregados ; Origem: 211430818 ; Destino: 218636706 ; Oneway: False ; Highway: residential
Rua: Rua de São José (3) ; Origem: 211430818 ; Destino: 211423646 ; Oneway: False ; Highway: tertiary
Rua: Rua de São José (4) ; Origem: 211430818 ; Destino: 215856035 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 211435739 ; Destino: 1571139836 ; Oneway: True ; Highway: tertiary
Rua: Rua Faustino Ferrador ; Origem: 211438244 ; Destino: 211438246 ; Oneway: False ; Highway: residential
Rua: Praça do Bocage ; Origem: 211438246 ; Destino: 211429233 ; Oneway: True ; Highway: residential
Rua: Rua Faustino Ferrador (2) ; Origem: 211438246 ; Destino: 211438244 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Manuel Rodrigues Abreu ; Origem: 213265749 ; Destino: 241939684 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Manuel Rodrigues Abreu (2) ; Origem: 213265749 ; Destino: 253986940 ; Oneway: True ; Highway: residential
Rua: Rua Doutor Manuel Rodrigues Abreu (3) ; Origem: 213265757 ; Destino: 253480823 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Manuel Rodrigues Abreu (4) ; Origem: 213265757 ; Destino: 213266831 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Manuel Rodrigues Abreu (5) ; Origem: 213265757 ; Destino: 241939684 ; Oneway: False ; Highway: residential
Rua: Rua Dom António Bento Martins Júnior ; Origem: 213266828 ; Destino: 218636265 ; Oneway: False ; Highway: tertiary
Rua: Rua Dom António Bento Martins Júnior (2) ; Origem: 213266828 ; Destino: 213268614 ; Oneway: True ; Highway: trunk_link
